"","Country","Year","MMRatio","SKpersonnel","lower_bound","upper_bound","income"
"12","Afghanistan","2013",NA,45.2,NA,NA,"2000"
"13","Albania","1990",71,NA,58,88,"2840"
"23","Albania","2000",43,NA,33,56,"4370"
"31","Albania","2008",NA,99.3,NA,NA,"8920"
"37","Algeria","1990",216,NA,141,327,"6330"
"47","Algeria","2000",170,NA,118,241,"7460"
"59","Algeria","2012",NA,96.6,NA,NA,"12750"
"61","Angola","1990",1160,NA,627,2020,"2190"
"71","Angola","2000",924,NA,472,1730,"2190"
"77","Angola","2006",NA,46.7,NA,NA,"4260"
"109","Armenia","1990",58,NA,51,65,"2330"
"119","Armenia","2000",40,NA,35,46,"2380"
"129","Armenia","2010",NA,99.5,NA,NA,"6620"
"133","Australia","1990",8,NA,7,9,"16820"
"143","Australia","2000",9,NA,8,10,"25580"
"156","Australia","2013",NA,99.3,NA,NA,"42540"
"157","Austria","1990",8,NA,7,10,"19180"
"167","Austria","2000",5,NA,4,6,"28450"
"188","Azerbaijan","2000",48,NA,42,55,"3350"
"199","Azerbaijan","2011",NA,97.2,NA,NA,"14590"
"202","Bahamas","1990",46,NA,34,61,"17480"
"212","Bahamas","2000",61,NA,50,74,"20020"
"225","Bahrain","1990",26,NA,20,33,"19200"
"235","Bahrain","2000",21,NA,18,26,"34880"
"248","Bangladesh","1990",569,NA,446,715,"710"
"258","Bangladesh","2000",399,NA,322,496,"1140"
"272","Barbados","1990",58,NA,47,72,"8250"
"282","Barbados","2000",48,NA,38,58,"11320"
"294","Barbados","2012",NA,98.9,NA,NA,"15080"
"295","Belarus","1990",33,NA,28,38,"5230"
"305","Belarus","2000",26,NA,22,31,"5770"
"317","Belarus","2012",NA,100,NA,NA,"16800"
"319","Belgium","1990",9,NA,7,10,"18650"
"329","Belgium","2000",9,NA,8,11,"28310"
"343","Belize","1990",54,NA,45,65,"3280"
"353","Belize","2000",53,NA,45,62,"6160"
"364","Belize","2011",NA,95.1,NA,NA,"7940"
"367","Benin","1990",576,NA,453,726,"860"
"377","Benin","2000",572,NA,448,732,"1200"
"391","Bhutan","1990",945,NA,697,1260,"1420"
"401","Bhutan","2000",423,NA,328,538,"2860"
"413","Bhutan","2012",NA,74.6,NA,NA,"6960"
"415","Bolivia (Plurinational State of)","1990",425,NA,340,527,"2300"
"425","Bolivia (Plurinational State of)","2000",334,NA,272,416,"3340"
"437","Bolivia (Plurinational State of)","2012",NA,85.1,NA,NA,"5400"
"445","Bosnia and Herzegovina","2000",17,NA,12,24,"4840"
"459","Botswana","1990",243,NA,149,352,"5070"
"469","Botswana","2000",311,NA,261,361,"7620"
"482","Botswana","2013",NA,99.9,NA,NA,"15500"
"483","Brazil","1990",104,NA,91,119,"6300"
"493","Brazil","2000",66,NA,64,67,"8500"
"506","Brazil","2013",NA,99.1,NA,NA,"14750"
"507","Brunei Darussalam","1990",35,NA,25,48,"49930"
"517","Brunei Darussalam","2000",31,NA,25,39,"59100"
"527","Bulgaria","1990",25,NA,21,29,"4970"
"537","Bulgaria","2000",21,NA,18,25,"6080"
"551","Burkina Faso","1990",727,NA,549,978,"540"
"561","Burkina Faso","2000",547,NA,432,686,"840"
"571","Burkina Faso","2010",NA,65.9,NA,NA,"1390"
"575","Burundi","1990",1220,NA,848,1760,"670"
"585","Burundi","2000",954,NA,682,1310,"580"
"595","Burundi","2010",NA,60.3,NA,NA,"710"
"599","Cabo Verde","1990",256,NA,141,460,"1050"
"609","Cabo Verde","2000",83,NA,45,162,"2910"
"622","Cabo Verde","2013",NA,92.3,NA,NA,"6220"
"628","Cambodia","2000",484,NA,396,596,"1050"
"642","Cameroon","1990",728,NA,566,926,"1640"
"652","Cameroon","2000",750,NA,615,918,"1710"
"666","Canada","1990",7,NA,7,8,"19150"
"676","Canada","2000",9,NA,9,10,"28240"
"687","Canada","2011",NA,98.4,NA,NA,"40570"
"690","Central African Republic","1990",1290,NA,979,1720,"500"
"700","Central African Republic","2000",1200,NA,836,1750,"550"
"710","Central African Republic","2010",NA,40,NA,NA,"880"
"714","Chad","1990",1450,NA,1100,1900,"710"
